Subjects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ConTL,71.04,81.04,61.82,86.62,75.71,69.35,81.43,79.74,68.7,51.17,48.57,53.25,61.56,79.09,81.43
ConTL,69.35,80.52,64.94,92.34,77.14,73.64,80.39,69.74,58.31,54.68,52.47,61.56,56.23,75.32,83.12
